Date,Content Type,Sent by,Post,Impressions,Organic Impressions,Viral Impressions,Non-viral Impressions,Fan Impressions,Fan Organic Impressions,Non-fan Impressions,Non-fan Organic Impressions,Reach,Organic Reach,Viral Reach,Non-viral Reach,Fan Reach,Engagement Rate (per Impression),Engagement Rate (per Reach),Engagements,Reactions,Likes,Love Reactions,Haha Reactions,Wow Reactions,Sad Reactions,Angry Reactions,Comments,Shares,Click-Through Rate,Other Post Clicks,Post Clicks (All),Post Photo View Clicks,Answers,Negative Feedback,Engaged Users,Engaged Fans,Users Talking About This,Unique Reactions,Unique Comments,Unique Shares,Unique Answers,Unique Post Clicks,Unique Post Photo View Clicks,Unique Other Post Clicks,Unique Negative Feedback
2022-12-17 17:08:00,Video,Damilare Oyekanmi,"We celebrated recently with Novare, one of our top clients on the 6th anniversary of their Novare Lekki mall opening. 
#TrustedPartner
#ITCANBE",207378.0,207378.0,5.0,207373.0,1147.0,1147.0,206231.0,206231.0,207378.0,207378.0,4.0,213627.0,1112.0,0.49,0.49,1024.0,179.0,176.0,3.0,0.0,0.0,0.0,0.0,59.0,2.0,0.0,784.0,784.0,0.0,0.0,13.0,792.0,51.0,231.0,177.0,53.0,2.0,0.0,587.0,0.0,577.0,13.0
2019-05-04 10:01:00,Photo,Other,N5k can get you started today. Call 01 280 1266 or email assetmanagement@stanbicibtc.com.,125784.0,125784.0,23926.0,101858.0,103287.0,103287.0,22497.0,22497.0,92009.0,92009.0,17238.0,76074.0,76764.0,4.67,6.39,5876.0,762.0,747.0,10.0,1.0,4.0,0.0,0.0,572.0,47.0,0.0,4495.0,4495.0,1089.0,0.0,10.0,4010.0,3360.0,1166.0,762.0,413.0,47.0,0.0,3412.0,931.0,2896.0,10.0
2020-06-02 21:00:00,Photo,Other,"Still not sure whether to invest in the FGN Bonds? 
Here are 5 reasons why you should. Call us on 01 422 0004 or email stockbroking@stanbicibtc.com and let us get you started.",89699.0,89699.0,9319.0,80380.0,79873.0,79873.0,9826.0,9826.0,84347.0,84347.0,8910.0,75068.0,74322.0,5.29,5.62,4744.0,465.0,458.0,6.0,0.0,0.0,0.0,1.0,855.0,29.0,0.0,3395.0,3395.0,738.0,0.0,5.0,2328.0,2033.0,834.0,446.0,423.0,28.0,0.0,1948.0,713.0,1470.0,5.0
2022-05-09 10:37:00,Photo,Damilare Oyekanmi,"Let nothing stop you from achieving your goals this new week. #GoForIt 💪🏾 

#MondayMotivation​
#ITCANBE​",79118.0,79118.0,170.0,78948.0,3352.0,3352.0,75766.0,75766.0,78407.0,78407.0,166.0,78237.0,3245.0,0.56,0.57,445.0,102.0,101.0,1.0,0.0,0.0,0.0,0.0,11.0,2.0,0.0,330.0,330.0,23.0,0.0,1.0,378.0,43.0,110.0,100.0,9.0,2.0,0.0,290.0,23.0,275.0,1.0
2021-07-18 10:00:00,Photo,Other,"If you were to pick one wish, what would it be?
#ITCANBE",76759.0,76759.0,20443.0,56316.0,55174.0,55174.0,21585.0,21585.0,74035.0,74035.0,20531.0,55026.0,53782.0,6.16,6.39,4730.0,413.0,383.0,26.0,2.0,2.0,0.0,0.0,869.0,10.0,0.0,3438.0,3438.0,125.0,0.0,3.0,2855.0,2261.0,1061.0,404.0,797.0,9.0,0.0,2570.0,124.0,2528.0,3.0
2023-02-09 13:31:00,Photo,Damilare Oyekanmi,"Tomorrow is the last day! Don’t get caught in the rush hour. Deposit your old Naira notes at any nearby Stanbic IBTC branch.

#ITCANBE",73865.0,73865.0,15623.0,58242.0,55882.0,55882.0,17983.0,17983.0,72692.0,72692.0,14845.0,57662.0,55689.0,9.37,9.52,6919.0,643.0,614.0,7.0,15.0,2.0,2.0,3.0,247.0,40.0,0.0,5989.0,5989.0,215.0,0.0,2.0,4046.0,3117.0,838.0,643.0,180.0,38.0,0.0,3510.0,210.0,3376.0,2.0
2023-03-26 11:55:00,Photo,Damilare Oyekanmi,"Your prayers for your dream home can be answered! Go for a home loan today.​
Visit https://bit.ly/StanbicIBTCHomeLoans now to get started.​

#ITCANBE",69979.0,69979.0,133.0,69846.0,5199.0,5199.0,64780.0,64780.0,69979.0,69979.0,125.0,71720.0,5199.0,1.13,1.13,793.0,123.0,117.0,5.0,1.0,0.0,0.0,0.0,30.0,2.0,0.04,609.0,638.0,178.0,0.0,3.0,506.0,178.0,141.0,122.0,20.0,2.0,0.0,393.0,177.0,338.0,3.0
2023-01-04 17:44:00,Photo,Damilare Oyekanmi,"The new Naira banknotes in circulation have several security features for ease of recognition which can be easily seen and touched.
Please deposit your old N200, N500 and N1000 naira notes at any Stanbic IBTC branch near you.
#ITCANBE

Image Source - Central Bank of Nigeria",69038.0,69038.0,8813.0,60225.0,57947.0,57947.0,11091.0,11091.0,69015.0,69015.0,7962.0,60568.0,58159.0,7.15,7.15,4933.0,482.0,462.0,15.0,4.0,1.0,0.0,0.0,83.0,61.0,0.0,4305.0,4307.0,1168.0,0.0,2.0,3666.0,3168.0,563.0,478.0,61.0,52.0,0.0,3324.0,1173.0,2261.0,2.0
2017-12-29 10:00:00,Photo,Other,"Find the missing letters
H_ _e   _ l_ _e

Hint – It’s a movie of a boy who was forgotten at home.",100577.0,100577.0,12743.0,87834.0,88117.0,88117.0,12460.0,12460.0,67550.0,67550.0,7847.0,58854.0,59310.0,6.67,9.94,6713.0,523.0,502.0,13.0,8.0,0.0,0.0,0.0,702.0,7.0,0.0,5481.0,5481.0,978.0,0.0,11.0,4514.0,4142.0,955.0,509.0,520.0,7.0,0.0,4227.0,857.0,3900.0,11.0
2020-07-22 10:00:00,Photo,Other,"Experience financial confidence and freedom. Open a BluEdge account today!
Call 0700 909 909 909 or email CustomerCareNigeria@stanbicibtc.com for more details.",66853.0,66853.0,4560.0,62293.0,61743.0,61743.0,5110.0,5110.0,63094.0,63094.0,3961.0,59128.0,58814.0,3.37,3.57,2254.0,295.0,291.0,3.0,0.0,0.0,0.0,1.0,430.0,17.0,0.0,1512.0,1512.0,254.0,0.0,4.0,1212.0,1107.0,506.0,295.0,223.0,15.0,0.0,939.0,244.0,741.0,4.0
2023-02-10 09:10:00,Photo,Damilare Oyekanmi,"A gentle reminder: Old 200, 500, and 1000 Naira notes will no longer be accepted as a legal tender after today. Deposit the old notes at any Stanbic IBTC branch close to you. 

#ITCANBE",62837.0,62837.0,14198.0,48639.0,46878.0,46878.0,15959.0,15959.0,62711.0,62711.0,13817.0,47924.0,46183.0,10.35,10.37,6505.0,490.0,471.0,5.0,9.0,2.0,2.0,1.0,264.0,65.0,0.0,5685.0,5686.0,250.0,0.0,0.0,3847.0,3023.0,665.0,471.0,185.0,63.0,0.0,3521.0,247.0,3450.0,0.0
2020-03-23 20:38:00,Photo,Other,"Which option will you pick and why?

#StanbicIBTCGeng #909FanGeng #InvestmentClubGeng #SavingsSureGeng #BookwormGeng #EasterLoveGeng",61090.0,61090.0,15728.0,45366.0,45630.0,45630.0,15460.0,15460.0,57960.0,57960.0,14405.0,43145.0,43442.0,7.24,7.63,4423.0,1414.0,1377.0,31.0,3.0,3.0,0.0,0.0,693.0,71.0,0.0,2245.0,2245.0,550.0,0.0,2.0,3041.0,2704.0,1723.0,1360.0,595.0,53.0,0.0,1910.0,540.0,1524.0,2.0
2017-09-17 11:37:00,Photo,Other,"This EPL #Supersunday, it's the Blues against the Gunners. Predict and win 5k shopping voucher.",95300.0,59484.0,35816.0,59484.0,57181.0,57181.0,38119.0,2303.0,56094.0,38717.0,18384.0,38717.0,35590.0,5.49,9.32,5230.0,641.0,631.0,6.0,0.0,4.0,0.0,0.0,1050.0,96.0,0.0,3443.0,3443.0,1305.0,0.0,7.0,2431.0,1974.0,1398.0,620.0,955.0,95.0,0.0,1948.0,717.0,1628.0,6.0
2023-04-07 12:58:00,Photo,Other,"We are pleased to inform you that your prayers to become a landlord have been answered. You can now access your Retirement Savings Account to fulfil your dream of owning a home. Visit https://bit.ly/StanbicIBTCHomeLoans now to get started.​​
#ITCANBE​",53536.0,53536.0,49.0,53487.0,7077.0,7077.0,46459.0,46459.0,53536.0,53536.0,49.0,53740.0,7123.0,1.1,1.1,590.0,89.0,88.0,1.0,0.0,0.0,0.0,0.0,18.0,1.0,0.04,461.0,482.0,156.0,0.0,1.0,381.0,149.0,100.0,88.0,15.0,1.0,0.0,303.0,156.0,258.0,1.0
2019-03-28 12:59:00,Photo,Other,"#ThrowBackThursday
Growing up, what did you call the fifty Naira note?",70070.0,70070.0,9427.0,60643.0,61151.0,61151.0,8919.0,8919.0,52865.0,52865.0,6982.0,44257.0,44826.0,6.53,8.66,4578.0,540.0,531.0,4.0,5.0,0.0,0.0,0.0,429.0,27.0,0.0,3582.0,3582.0,493.0,0.0,6.0,3499.0,3178.0,883.0,539.0,393.0,21.0,0.0,3126.0,438.0,2933.0,6.0
2019-09-03 11:43:00,Photo,Aramide Salami,"Every human life is a precious gift to humanity. 
Let us love and respect one another. 
We’re one Africa; let’s put aside all differences and stand together with love. 
We #SayNoToXenophobia",70855.0,70787.0,35336.0,35449.0,37836.0,37836.0,33019.0,32951.0,52185.0,52185.0,24829.0,29127.0,30207.0,5.25,7.12,3717.0,669.0,622.0,23.0,2.0,0.0,2.0,20.0,186.0,187.0,0.0,2675.0,2675.0,585.0,0.0,1.0,2573.0,1591.0,852.0,649.0,120.0,170.0,0.0,1993.0,563.0,1679.0,1.0
2023-01-03 16:46:00,Text,Other,"If you had two hours to listen to someone speak, what would you like to listen to:
-Career lessons 💻
-Business tips 👩‍💼👨‍💼
-Soft life living 😉",52745.0,52745.0,8719.0,44026.0,39761.0,39761.0,12984.0,12984.0,52043.0,52043.0,7989.0,43923.0,40349.0,4.84,4.9,2551.0,407.0,393.0,13.0,0.0,0.0,1.0,0.0,483.0,4.0,0.0,1657.0,1657.0,0.0,0.0,3.0,1698.0,1316.0,720.0,389.0,439.0,4.0,0.0,1444.0,0.0,1444.0,3.0
2021-12-27 19:00:00,Text,Other,Why is the Stanbic IBTC Super App difficult to use?,51042.0,51042.0,1050.0,49992.0,48776.0,48776.0,2266.0,2266.0,51042.0,51042.0,1036.0,49803.0,48227.0,7.36,7.36,3758.0,228.0,216.0,4.0,3.0,0.0,1.0,4.0,305.0,2.0,0.0,3223.0,3223.0,0.0,0.0,0.0,2249.0,2107.0,349.0,225.0,148.0,2.0,0.0,2104.0,0.0,2104.0,0.0
